,Article,Authors,Ref. and Year,PMID,Description
10,"Childhood obesity: causes, consequences, and prevention.","Ali AT, Al-Ani F, Al-Ani O.",Ceska Slov Farm. 2023.,36858977,"Both genetic and environmental factors (such as a sedentary lifestyle) are implicated in its pathogenesis. Childhood obesity is associated with physical, psychological, and social consequences. Obese children are at higher risk of elevated fasting blood glucose, ins …"
11,Incredible Combination of Lifestyle Modification and Herbal Remedies for Polycystic Ovarian Syndrome Management.,"Balkrishna A, Rana M, Mishra S, Srivastava D, Bhardwaj R, Singh S, Rajput SK, Arya V.",Evid Based Complement Alternat Med. 2023.,37383339,"The sedentary lifestyle, dietary fluctuations, inactivity, and stress are other contributing variables. ...In conclusion, combining lifestyle modifications with herbal remedies can be used in the management of PCOS as a holistic approach. ..."
12,Genomic variants in polycystic ovary syndrome.,"Luque-Ramírez M, San Millán JL, Escobar-Morreale HF.",Clin Chim Acta. 2006.,16337616,"Considering the relationship between insulin resistance and chronic inflammation, and the clustering of inflammatory markers in PCOS patients, recent studies focused on the involvement of proinflammatory genotypes on the pathogenesis of PCOS. Mounting evidence sugge …"
13,24-hour movement behaviours and cardiometabolic markers in women with polycystic ovary syndrome (PCOS): a compositional data analysis.,"Pesonen E, Farrahi V, Brakenridge CJ, Ollila MM, Morin-Papunen LC, Nurkkala M, Jämsä T, Korpelainen R, Moran LJ, Piltonen TT, Niemelä M.",Hum Reprod. 2024.,39366675,"STUDY QUESTION: Are 24-h movement composition and time reallocations between the movement behaviours (moderate-to-vigorous physical activity (MVPA), light physical activity (LPA), sedentary behaviour (SB), and sleep) differentially associated with cardiometabolic markers i …"
14,Circulating levels of irisin and Meteorin-like protein in PCOS and its correlation with metabolic parameters.,"Paczkowska K, Sobczuk J, Zawadzka K, Jędrzejuk D, Zembska A, Konieczny J, Kaszubkiewicz-Wardęga D, Bolanowski M, Daroszewski J.",Endokrynol Pol. 2024.,38646985,"INTRODUCTION: Research on obesity, which results from excessive food consumption and sedentary lifestyle, has focused on increasing energy expenditure. Recently, muscle tissue is being investigated as an endocrine active organ, secreting molecules called myokines. . …"
15,Unveiling Therapeutic Potential of Yoga Mitigating Oxidative Stress and Mitochondrial Dysfunction in PCOS: A Randomized Controlled Trial.,"Kumari D, Kumar M, Upadhyay AD, Malhotra N, Mahey R, Dadhwal V, Sehgal T, Mishra R, Dada R.",Int J Yoga. 2025.,40365366,"BACKGROUND: Hormonal imbalance, mitochondrial dysfunctions, and oxidative stress (OS) have been implicated in the pathogenesis of polycystic ovarian syndrome (PCOS) and its associated clinical features. A sedentary lifestyle, exposure to air pollutants, prena …"
16,Physical activity and sedentary behaviour in women with and without polycystic ovary syndrome: An Australian population-based cross-sectional study.,"Tay CT, Moran LJ, Harrison CL, Brown WJ, Joham AE.",Clin Endocrinol (Oxf). 2020.,32324293,"OBJECTIVE: Lifestyle is the first-line treatment for women with polycystic ovary syndrome (PCOS). This study examines the physical activity (PA) levels and sedentary behaviours of women with and without PCOS, and their alignment with the PCOS PA …"
17,Evolutionary determinants of polycystic ovary syndrome: part 1.,"Ünlütürk U, Sezgin E, Yildiz BO.",Fertil Steril. 2016.,27238626,"Although PCOS is the most common cause of anovulatory infertility, its high prevalence is still a paradox. From an evolutionary perspective, the pathogenic mechanisms underlying PCOS might be candidate factors for survival advantage of the human being. Former compen …"
18,Shared genes of polycystic ovary syndrome and sedentary behavior as a novel immune landscape biomarker for endometrial cancer.,"Ge Y, Chen Y, Zhang Y, Hu Y, Jiang F, Lu X, Wu C.",Sci Rep. 2024.,39154063,"The GEO database provides access to microarray data, which was utilized in this study to identify gene expression modules associated with PCOS and sedentary behavior, using weighted gene expression network analysis (WGCNA). ...We found that increased intracel …"
19,Habitual physical activity is associated with improved anthropometric and androgenic profile in PCOS: a cross-sectional study.,"Mario FM, Graff SK, Spritzer PM.",J Endocrinol Invest. 2017.,27771865,"RESULTS: BMI was lower in active women from both groups. Active PCOS women presented lower waist circumference (WC) and lipid accumulation product (LAP) values versus sedentary PCOS women. In the control group, active women also had lower WC, lower values for …"
20,Metabolic syndrome and polycystic ovary syndrome: an intriguing overlapping.,"Caserta D, Adducchio G, Picchia S, Ralli E, Matteucci E, Moscarini M.",Gynecol Endocrinol. 2014.,24552422,"Metabolic syndrome is an increasing pathology in adults and in children, due to a parallel rise of obesity. Sedentary lifestyle, food habits, cultural influences and also a genetic predisposition can cause dyslipidemia, hypertension, abdominal obesity and insulin re …"
21,Exercise and sedentary habits among adolescents with PCOS.,"Eleftheriadou M, Michala L, Stefanidis K, Iliadis I, Lykeridou A, Antsaklis A.",J Pediatr Adolesc Gynecol. 2012.,22260889,STUDY OBJECTIVE: The purpose of this study was the recording of physical activity and sedentary habits of adolescents with polycystic ovarian syndrome (PCOS). METHODS: We performed a structured interview to assess the level of physical activity and sedentary …
22,"Influence of lifestyle factors with the outcome of menstrual disorders among adolescents and young women in West Bengal, India.","Dhar S, Mondal KK, Bhattacharjee P.",Sci Rep. 2023.,37528155,"Several factors including genetic predisposition as well as lifestyle modifications adversely affect normal menstrual patterns. Hence, this study aims to evaluate the prevalence of menstrual disorders among adolescents and young women as well as the associated risk factors …"
23,Interrupting Prolonged Sitting and Endothelial Function in Polycystic Ovary Syndrome.,"Taylor FC, Dunstan DW, Fletcher E, Townsend MK, Larsen RN, Rickards K, Maniar N, Buman M, Dempsey PC, Joham AE, Cohen N, Owen N, Moran LJ, Green DJ.",Med Sci Sports Exerc. 2021.,32925494,"It is unknown whether these benefits extend to women with polycystic ovary syndrome (PCOS), in whom vascular function is typically impaired and sitting time is high. We examined the acute effect of regularly interrupting sitting time with brief simple resistance activities …"
24,Causal relationship between physical activity and common gynecologic conditions: a two-sample Mendelian randomization study.,"Fu M, Zhu X, Chen J, Guan J, Ding H, Gao Q, Qin S.",Am J Transl Res. 2025.,40535620,"Exercise frequency inversely correlated with endometrial cancer (EC) (walking: OR = 0.20; strenuous sports: OR = 0.06; other exercises: OR = 0.41) and endometriosis (ES) (strenuous sports: OR = 0.17; other exercises: OR = 0.26), but was positively associated with sedentary …"
25,Cardiometabolic and reproductive benefits of early dietary energy restriction and voluntary exercise in an obese PCOS-prone rodent model.,"Diane A, Kupreeva M, Borthwick F, Proctor SD, Pierce WD, Vine DF.",J Endocrinol. 2015.,26187902,We hypothesized that an early lifestyle intervention involving exercise and dietary energy restriction to prevent or reduce the propensity for adiposity would modulate reproductive indices and cardiometabolic risk in an obese PCOS-prone rodent model. ...Dietary ener …
26,Dietary habits in adolescent girls with polycystic ovarian syndrome.,"Eleftheriadou M, Stefanidis K, Lykeridou K, Iliadis I, Michala L.",Gynecol Endocrinol. 2015.,25430596,"The phenotype of polycystic ovarian syndrome (PCOS) is known to worsen with weight gain, increased ingestion of carbohydrates and a sedentary lifestyle. ...Ameliorating eating habits early in adolescence in girls with PCOS may improve future metabolic …"
27,"Prevalence, risk factors and health-seeking behavior of menstrual disorders among women in India: a review of two-decade evidence.","Das P, Jungari S.",Glob Health Action. 2024.,39853181,"Among all menstrual disorders, Dysmenorrhea was reported to be high (46% to 76%) among women, followed by premenstrual symptoms (PMS) (40% to 71%), while PCOS (3% to 14.14%) was less. The study further found that irregular lifestyle, obesity, inadequate diet, age at …"
28,Metabolic syndrome: risk factors and molecular drug targets.,"Chalotra R, Gupta A, Singh TG, Singh R.",EXCLI J. 2025.,41103501,"If left untreated, it leads to the development of other serious metabolic diseases like atherosclerosis, diabetes, PCOS, NAFLD, NASH, thyroid, cancer, sleep disturbance, osteoarthritis, anxiety, and depression. ...Its multifactorial nature often requires lifelong polythera …"
29,"A cross-sectional study on prevalence of menstrual problems, lifestyle, mental health, and PCOS awareness among rural and urban population of Punjab, India.","Sharma P, Kaur M, Kumar S, Khetarpal P.",J Psychosom Obstet Gynaecol. 2022.,34448673,"To assess prevalence of various types of menstrual problems, lifestyle and mental health status, identification of variables as predictors for menstrual problems and level of polycystic ovary syndrome (PCOS) awareness among rural and urban population of Punjab, the …"
30,Serum irisin concentrations in lean adolescents with polycystic ovary syndrome.,"Bacopoulou F, Athanasopoulos N, Efthymiou V, Mantzou A, Aravantinos L, Vlahopoulos S, Deligeoroglou E.",Clin Endocrinol (Oxf). 2018.,29368340,"RESULTS: Participants included in total 39 sedentary females (mean SD; age 17.3 2.1 years, BMI 20.7 1.3 Kg/m(2) ), 23 adolescents with PCOS and 16 controls. ...Much research is needed to ascertain mechanisms of elevated serum irisin in adolescent PCOS...."
31,"The contribution of diet, physical activity and sedentary behaviour to body mass index in women with and without polycystic ovary syndrome.","Moran LJ, Ranasinha S, Zoungas S, McNaughton SA, Brown WJ, Teede HJ.",Hum Reprod. 2013.,23771201,"WHAT IS KNOWN ALREADY: Obesity worsens the clinical features of PCOS and women with PCOS have an elevated prevalence of overweight and obesity. It is not known whether there is a contribution of lifestyle factors such as dietary intake, physical activity or …"
32,Environmental determinants and PCOS symptoms severity: a cross-sectional study.,"Ashraf S, Aslam R, Bashir I, Majeed I, Jamshaid M.",Health Care Women Int. 2022.,34432612,"We also found significant relationships of sedentary lifestyle (p = .034) & BMI (p = 0.025) with PCOS symptoms severity. However, relationship of socioeconomic status (SES) was non-significant with the disease severity. These determinants will direct heal …"
33,Supervised Aerobic Exercise Training and Increased Lifestyle Physical Activity to Reduce Cardiovascular Disease Risk for Women With Polycystic Ovary Syndrome: A Randomized Controlled Feasibility Trial.,"Woodward A, Broom D, Dalton C, Metwally M, Klonizakis M.",J Phys Act Health. 2022.,35606099,"Physical activity (PA) interventions reduce cardiovascular disease risk factors in women with PCOS. However, sedentary behaviors have a distinct deleterious effect on cardiometabolic health. ...Participants were randomized to a supervised exercise intervention (n = …"
34,Type 2 diabetes mellitus in children and youth: a new epidemic.,Kaufman FR.,J Pediatr Endocrinol Metab. 2002.,12092688,"Other risk factors include a family history of type 2 DM, puberty, intrauterine exposure to DM, sedentary lifestyle, female gender, and certain ethnicities. To date, few studies have addressed the role of physical activity and nutrition counseling in improving glyce …"
35,Physical Activity by Accelerometry is Prospectively Associated With Lower Testosterone and Hirsutism Score Among Adolescent Girls.,"Peters TM, Cheng TS, Brage S, Ong KK.",J Adolesc Health. 2025.,40122638,"METHODS: We included participants from the Avon Longitudinal Study of Parents and Children prospective cohort with objective measurement of PA and sedentary behavior using accelerometry between ages 11 and 15 years, biochemical and clinical measures of hyperandrogen …"
36,"Impact of COVID-19 Restriction on Weight, Physical Activity, Diet and Psychological Distress on People with PCOS.","McGowan M, Lim S, O'Reilly SL, Harrison CL, Enticott J, Teede H, Cowan S, Moran LJ.",Nutrients. 2023.,37299542,"BACKGROUND: People with polycystic ovary syndrome (PCOS) have higher weight gain and psychological distress compared to those without PCOS. While COVID-19 restrictions led to population level adverse changes in lifestyle, weight gain and psychological distres …"
37,Association between self-reported sedentary behavior and health-related quality of life among infertile women with polycystic ovary syndrome.,"Cao Y, Li G, Ren Y.",BMC Womens Health. 2023.,36788488,"BACKGROUND: High sedentary behavior and poor health-related quality of life (HRQoL) were common among women with polycystic ovary syndrome (PCOS). However, the association of sedentary behavior with HRQoL among infertile women with PCOS i …"
38,Effects of exercise on lipoprotein particles in women with polycystic ovary syndrome.,"Brown AJ, Setji TL, Sanders LL, Lowry KP, Otvos JD, Kraus WE, Svetkey PL.",Med Sci Sports Exerc. 2009.,19204602,The purpose of this study was to examine the effects of a moderate-intensity exercise program without weight loss on lipoprotein profiles in women with PCOS. METHODS: Thirty-seven sedentary PCOS women were randomized to either an 8- to 12-wk ramp-up followed …
39,Polycystic ovary syndrome associated with increased adiposity interferes with serum levels of TNF-alpha and IL-6 differently from leptin and adiponectin.,"Cardoso NS, Ribeiro VB, Dutra SGV, Ferriani RA, Gastaldi AC, Araújo JE, Souza HCD.",Arch Endocrinol Metab. 2020.,32187268,"Subjects and methods Sedentary women were assigned to PCOS (N = 60) and CONTROL (N = 60) groups. Each group was subdivided into three subgroups according to body fat percentage (22-27%, 27-32% and 32-37%). ...However, both were unaffected by PCOS. TNF-alpha a …"
40,Effects of exercise and dietary habits on the occurrence of polycystic ovary syndrome over 5 years of follow-up.,"Zhang J, Zhou K, Luo L, Liu Y, Liu X, Xu L.",Int J Gynaecol Obstet. 2018.,29877578,Women aged 12-44 years with and without PCOS were surveyed using the Semiquantitative Food Frequency Questionnaire and the International Physical Activity Questionnaire to evaluate the correlation of PCOS with recent (last 7 days) or previous (5 years ago) exercise …
41,Supervised exercise training and increased physical activity to reduce cardiovascular disease risk in women with polycystic ovary syndrome: study protocol for a randomized controlled feasibility trial.,"Woodward A, Broom D, Dalton C, Metwally M, Klonizakis M.",Trials. 2020.,31959233,"Additionally, prolonged periods of sedentary behaviour can negatively affect metabolic health. No studies have specifically examined the effects of reducing sedentary behaviour on CVD risk in PCOS with a lifestyle physical activity intervention. ...The …"
42,Amino acid and fatty acid metabolomic profile during fasting and hyperinsulinemia in girls with polycystic ovarian syndrome.,"Cree-Green M, Carreau AM, Rahat H, Garcia-Reyes Y, Bergman BC, Pyle L, Nadeau KJ.",Am J Physiol Endocrinol Metab. 2019.,30753112,"We sought to determine whether these metabolites are associated with IR and/or androgens in youth-onset PCOS. We enrolled obese girls with PCOS [ n = 15, 14.5 yr (SD 1.6), %BMI 98.5 (SD 1.0)] and without PCOS [ n = 6, 13.2 yr (SD 1.2), %BMI 98.0 (SD 1.1)]. .. …"
43,Aerobic exercise improves cardiac autonomic modulation in women with polycystic ovary syndrome.,"Sá JC, Costa EC, da Silva E, Tamburús NY, Porta A, Medeiros LF, Lemos TM, Soares EM, Azevedo GD.",Int J Cardiol. 2016.,26426277,"BACKGROUND: This study aimed to evaluate the effects of aerobic exercise on cardiac autonomic modulation in women with polycystic ovary syndrome (PCOS). METHODS: Thirty women with PCOS (25.84.8 years old; body mass index, BMI25 kg/m2) were divided into two groups; e …"
44,"Metabolic, androgenic, and physical activity profiles in women aged over 40 years with polycystic ovary syndrome: A comparative analysis using UK Biobank data.","Kite C, Kyrou I, Randeva HS, Lahart IM, Brown JEP.",Womens Health (Lond). 2025.,41268610,"CONCLUSION: Women with PCOS exhibit poorer health despite only slight lifestyle differences. Across all participants, lower physical activity and higher sedentary behaviour were linked to increased health risks. Further research is needed to clarify causal re …"
45,Clinical efficacy of Vamana Karma with Ikshwaaku Beeja Yoga followed by Shatapushpadi Ghanavati in the management of Artava Kshaya w. s. r to polycystic ovarian syndrome.,"Bhingardive KB, Sarvade DD, Bhatted S.",Ayu. 2017.,30254392,"BACKGROUND: Due to sedentary lifestyle and stress, the incidence of metabolic disorders are increasing day by day. ...AIMS: To evaluate the efficacy of Vamana Karma (therapeutic vomiting) followed by Shatapushpadi Ghanavati in the management of Aartava Kshaya (loss …"
46,The characterization of obese polycystic ovary syndrome rat model suitable for exercise intervention.,"Wu C, Lin F, Qiu S, Jiang Z.",PLoS One. 2014.,24905232,"OBJECTIVE: To develop a new polycystic ovary syndrome (PCOS) rat model suitable for exercise intervention. METHOD: Thirty six rats were randomly divided into three experimental groups: PCOS rats with high-fat diet (PF, n = 24), PCOS rats with ordinary diet (P …"
47,Effects of exercise and group counselling on body composition and VO2max in overweight women with polycystic ovary syndrome.,"Roessler KK, Birkebaek C, Ravn P, Andersen MS, Glintborg D.",Acta Obstet Gynecol Scand. 2013.,23237575,"OBJECTIVE: To investigate the effect of high-intensity aerobic training combined with group counselling sessions on anthropometry and cardio-respiratory fitness in women with PCOS. DESIGN: Seventeen sedentary, overweight women with PCOS were randomized in a c …"
48,Self-determined strategies for physical activity motivation among women with polycystic ovary syndrome.,"Wright PJ, Corbett C, Pinto BM, Wirth MD, Dawson RM.",Womens Health (Lond). 2025.,40652333,"However, <40% of women with polycystic ovary syndrome engage in regular physical activity, and about 60% are sedentary. Research evidence supports theory-informed physical activity interventions to improve motivation for physical activity. ...CONCLUSION: Findings suppor …"
49,Vigorous exercise is associated with superior metabolic profiles in polycystic ovary syndrome independent of total exercise expenditure.,"Greenwood EA, Noel MW, Kao CN, Shinkai K, Pasch LA, Cedars MI, Huddleston HG.",Fertil Steril. 2016.,26551442,OBJECTIVE: To characterize metabolic features of women with polycystic ovary syndrome (PCOS) by exercise behavior and determine relative health benefits of different exercise intensities. ...Vigorous but not moderate activity is associated with reduced odds of the m …
